Department of Audits and Accounts,,,,
Obligations,,,,
,Organization,Vendor Name,Obligation Amount,Fiscal Year
,GEORGIA STATE UNIVERSITY,1ST RUN COMPUTER SERVICES INC,29227.30,2009
,GEORGIA STATE UNIVERSITY,A & B SOLUTIONS PROVIDERS INC,18051.95,2009
,GEORGIA STATE UNIVERSITY,ABLETON INC,478.40,2009
,GEORGIA STATE UNIVERSITY,ACCELRYS SOFTWARE INC.,2143.00,2009
,GEORGIA STATE UNIVERSITY,"ACCURI CYTOMETERS, INC.",40650.00,2009
,GEORGIA STATE UNIVERSITY,"ACTIVE POWER, INC.",152925.60,2009
,GEORGIA STATE UNIVERSITY,"ADAMS TRANSFER & STORAGE COMPANY,INC",18471.36,2009
,GEORGIA STATE UNIVERSITY,"ADVANCED MEASUREMENT TECYHNOLOGY, INC",5990.00,2009
,GEORGIA STATE UNIVERSITY,AGILENT TECHNOLOGIES,168023.44,2009
,GEORGIA STATE UNIVERSITY,"AKZO NOBEL POLYMER CHEMICALS, LLC",489.47,2009
,GEORGIA STATE UNIVERSITY,ALBANY STATE UNIVERSITY,7000.00,2009
,GEORGIA STATE UNIVERSITY,"ALBION SCACCIA ENTERPRISES,LLC",337299.60,2009
,GEORGIA STATE UNIVERSITY,ALERT-ALL CORPORATION,372.70,2009
,GEORGIA STATE UNIVERSITY,ALLAN VIGIL FORD,20007.30,2009
,GEORGIA STATE UNIVERSITY,ALLSEATING CORPORATION,68093.98,2009
,GEORGIA STATE UNIVERSITY,ALLSTEEL C/O GSI OFFICE ENVIRONMENT,5282.58,2009
,GEORGIA STATE UNIVERSITY,AMERICAN COLOR GRAPHICS,2174.28,2009
,GEORGIA STATE UNIVERSITY,AMERICAN SYSTEMS INC.,19339.00,2009
,GEORGIA STATE UNIVERSITY,ANDREW RISSLAND TURPEN & ASSOCIATES INC.,7665.00,2009
,GEORGIA STATE UNIVERSITY,ANIMAL CARE SYSTEMS,57495.74,2009
,GEORGIA STATE UNIVERSITY,"ANTHONY,ELIZABETH R",650.00,2009
,GEORGIA STATE UNIVERSITY,"AOS USA, INC",27420.00,2009
,GEORGIA STATE UNIVERSITY,"APPLE COMPUTER, INC.",155530.27,2009
,GEORGIA STATE UNIVERSITY,"APPLE,INC",588.95,2009
,GEORGIA STATE UNIVERSITY,APPLIED BIOSYSTEMS,277.68,2009
,GEORGIA STATE UNIVERSITY,APPLIED SCIENCE GROUP INC,12209.00,2009
,GEORGIA STATE UNIVERSITY,ASSETWORKS INCORPORATED,1388.06,2009
